Times,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan,,,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC
0,1,SVM,SVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,SVM,SVM,1,0,0,0,0.833333333,0.5
0,1,WSVM,WSVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,WSVM,WSVM,1,0,0,0,0.833333333,0.5
0,1,own_class_center,lin_center_own,0.896666667,0.5,0.669576981,0.495867769,0.830555556,0.698333333,"[[269  31]
 [ 30  30]]",,,own_class_center,lin_center_own,0.896666667,0.51,0.675969129,0.503754634,0.832222222,0.703333333
0,1,own_class_center,exp,0.52,0.9,0.684105255,0.418604651,0.583333333,0.71,"[[156 144]
 [  6  54]]",,,own_class_center,exp,0.512666667,0.886666667,0.673927558,0.41050182,0.575,0.699666667
0,1,estimated_hyper_lin,lin_center_own,0.896666667,0.516666667,0.680645119,0.508196721,0.833333333,0.706666667,"[[269  31]
 [ 29  31]]",,,estimated_hyper_lin,lin_center_own,0.885333333,0.476666667,0.649329595,0.465189209,0.817222222,0.681
0,1,estimated_hyper_lin,exp,0.88,0.45,0.629285309,0.43902439,0.808333333,0.665,"[[264  36]
 [ 33  27]]",,,estimated_hyper_lin,exp,0.86,0.476666667,0.639407728,0.437548468,0.796111111,0.668333333
0,1,actual_hyper_lin,lin_center_own,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,actual_hyper_lin,lin_center_own,1,0,0,0,0.833333333,0.5
0,1,actual_hyper_lin,exp,0.883333333,0.516666667,0.675565607,0.492063492,0.822222222,0.7,"[[265  35]
 [ 29  31]]",,,actual_hyper_lin,exp,0.738666667,0.656666667,0.673819953,0.451176003,0.725,0.697666667
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.876666667,0.55,0.694382219,0.507692308,0.822222222,0.713333333,"[[263  37]
 [ 27  33]]",,,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.57,0.707696117,0.525722934,0.828333333,0.725
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.883333333,0.566666667,0.707499509,0.527131783,0.830555556,0.725,"[[265  35]
 [ 26  34]]",,,distance_center_own_opposite_tam,func_own_opp_new_v1,0.882,0.536666667,0.687679347,0.50562584,0.824444444,0.709333333
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.883333333,0.566666667,0.707499509,0.527131783,0.830555556,0.725,"[[265  35]
 [ 26  34]]",,,distance_center_own_opposite_tam,func_own_opp_new_v2,0.882,0.536666667,0.687679347,0.50562584,0.824444444,0.709333333
0,2,SVM,SVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,2,WSVM,WSVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,2,own_class_center,lin_center_own,0.876666667,0.45,0.62809235,0.435483871,0.805555556,0.663333333,"[[263  37]
 [ 33  27]]",,,,,,,,,,
0,2,own_class_center,exp,0.476666667,0.9,0.654980916,0.398523985,0.547222222,0.688333333,"[[143 157]
 [  6  54]]",,,,,,,,,,
0,2,estimated_hyper_lin,lin_center_own,0.876666667,0.466666667,0.639617942,0.448,0.808333333,0.671666667,"[[263  37]
 [ 32  28]]",,,,,,,,,,
0,2,estimated_hyper_lin,exp,0.866666667,0.416666667,0.600925213,0.4,0.791666667,0.641666667,"[[260  40]
 [ 35  25]]",,,,,,,,,,
0,2,actual_hyper_lin,lin_center_own,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,2,actual_hyper_lin,exp,0.873333333,0.45,0.626897121,0.432,0.802777778,0.661666667,"[[262  38]
 [ 33  27]]",,,,,,,,,,
0,2,distance_center_own_opposite_tam,func_own_opp_new,0.863333333,0.483333333,0.645970416,0.446153846,0.8,0.673333333,"[[259  41]
 [ 31  29]]",,,,,,,,,,
0,2,distance_center_own_opposite_tam,func_own_opp_new_v1,0.863333333,0.466666667,0.63473529,0.434108527,0.797222222,0.665,"[[259  41]
 [ 32  28]]",,,,,,,,,,
0,2,distance_center_own_opposite_tam,func_own_opp_new_v2,0.863333333,0.466666667,0.63473529,0.434108527,0.797222222,0.665,"[[259  41]
 [ 32  28]]",,,,,,,,,,
0,3,SVM,SVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,3,WSVM,WSVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,3,own_class_center,lin_center_own,0.893333333,0.516666667,0.679378801,0.504065041,0.830555556,0.705,"[[268  32]
 [ 29  31]]",,,,,,,,,,
0,3,own_class_center,exp,0.49,0.866666667,0.651664535,0.39245283,0.552777778,0.678333333,"[[147 153]
 [  8  52]]",,,,,,,,,,
0,3,estimated_hyper_lin,lin_center_own,0.866666667,0.466666667,0.635959468,0.4375,0.8,0.666666667,"[[260  40]
 [ 32  28]]",,,,,,,,,,
0,3,estimated_hyper_lin,exp,0.853333333,0.466666667,0.63104851,0.424242424,0.788888889,0.66,"[[256  44]
 [ 32  28]]",,,,,,,,,,
0,3,actual_hyper_lin,lin_center_own,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,3,actual_hyper_lin,exp,0.86,0.55,0.687749955,0.488888889,0.808333333,0.705,"[[258  42]
 [ 27  33]]",,,,,,,,,,
0,3,distance_center_own_opposite_tam,func_own_opp_new,0.866666667,0.583333333,0.7110243,0.518518519,0.819444444,0.725,"[[260  40]
 [ 25  35]]",,,,,,,,,,
0,3,distance_center_own_opposite_tam,func_own_opp_new_v1,0.86,0.55,0.687749955,0.488888889,0.808333333,0.705,"[[258  42]
 [ 27  33]]",,,,,,,,,,
0,3,distance_center_own_opposite_tam,func_own_opp_new_v2,0.86,0.55,0.687749955,0.488888889,0.808333333,0.705,"[[258  42]
 [ 27  33]]",,,,,,,,,,
0,4,SVM,SVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,4,WSVM,WSVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,4,own_class_center,lin_center_own,0.903333333,0.55,0.704864053,0.540983607,0.844444444,0.726666667,"[[271  29]
 [ 27  33]]",,,,,,,,,,
0,4,own_class_center,exp,0.55,0.866666667,0.690410506,0.421052632,0.602777778,0.708333333,"[[165 135]
 [  8  52]]",,,,,,,,,,
0,4,estimated_hyper_lin,lin_center_own,0.89,0.5,0.667083203,0.487804878,0.825,0.695,"[[267  33]
 [ 30  30]]",,,,,,,,,,
0,4,estimated_hyper_lin,exp,0.83,0.533333333,0.665331997,0.447552448,0.780555556,0.681666667,"[[249  51]
 [ 28  32]]",,,,,,,,,,
0,4,actual_hyper_lin,lin_center_own,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,4,actual_hyper_lin,exp,0.55,0.866666667,0.690410506,0.421052632,0.602777778,0.708333333,"[[165 135]
 [  8  52]]",,,,,,,,,,
0,4,distance_center_own_opposite_tam,func_own_opp_new,0.893333333,0.6,0.732120209,0.5625,0.844444444,0.746666667,"[[268  32]
 [ 24  36]]",,,,,,,,,,
0,4,distance_center_own_opposite_tam,func_own_opp_new_v1,0.893333333,0.55,0.700951734,0.528,0.836111111,0.721666667,"[[268  32]
 [ 27  33]]",,,,,,,,,,
0,4,distance_center_own_opposite_tam,func_own_opp_new_v2,0.893333333,0.55,0.700951734,0.528,0.836111111,0.721666667,"[[268  32]
 [ 27  33]]",,,,,,,,,,
0,5,SVM,SVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,5,WSVM,WSVM,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,5,own_class_center,lin_center_own,0.913333333,0.533333333,0.697933458,0.542372881,0.85,0.723333333,"[[274  26]
 [ 28  32]]",,,,,,,,,,
0,5,own_class_center,exp,0.526666667,0.9,0.688476579,0.421875,0.588888889,0.713333333,"[[158 142]
 [  6  54]]",,,,,,,,,,
0,5,estimated_hyper_lin,lin_center_own,0.896666667,0.433333333,0.623342246,0.444444444,0.819444444,0.665,"[[269  31]
 [ 34  26]]",,,,,,,,,,
0,5,estimated_hyper_lin,exp,0.87,0.516666667,0.670447612,0.476923077,0.811111111,0.693333333,"[[261  39]
 [ 29  31]]",,,,,,,,,,
0,5,actual_hyper_lin,lin_center_own,1,0,0,0,0.833333333,0.5,"[[300   0]
 [ 60   0]]",,,,,,,,,,
0,5,actual_hyper_lin,exp,0.526666667,0.9,0.688476579,0.421875,0.588888889,0.713333333,"[[158 142]
 [  6  54]]",,,,,,,,,,
0,5,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.633333333,0.754983444,0.59375,0.855555556,0.766666667,"[[270  30]
 [ 22  38]]",,,,,,,,,,
0,5,distance_center_own_opposite_tam,func_own_opp_new_v1,0.91,0.55,0.707460246,0.55,0.85,0.73,"[[273  27]
 [ 27  33]]",,,,,,,,,,
0,5,distance_center_own_opposite_tam,func_own_opp_new_v2,0.91,0.55,0.707460246,0.55,0.85,0.73,"[[273  27]
 [ 27  33]]",,,,,,,,,,
