Times,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan,,,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC
0,3,distance_center_own_opposite_tam,func_own_opp_new_v2,0.876666667,0.65,0.754873058,0.573529412,0.838888889,0.763333333,"[[263  37]
 [ 21  39]]",,,,,,,,,,
0,4,SVM,SVM,0.993333333,0.016666667,0.128668394,0.031746032,0.830555556,0.505,"[[298   2]
 [ 59   1]]",,,,,,,,,,
0,4,WSVM,WSVM,0.926666667,0.4,0.608824003,0.452830189,0.838888889,0.663333333,"[[278  22]
 [ 36  24]]",,,,,,,,,,
0,4,own_class_center,lin_center_own,0.53,0.9,0.690651866,0.423529412,0.591666667,0.715,"[[159 141]
 [  6  54]]",,,,,,,,,,
0,4,own_class_center,exp,0.53,0.9,0.690651866,0.423529412,0.591666667,0.715,"[[159 141]
 [  6  54]]",,,,,,,,,,
0,4,estimated_hyper_lin,lin_center_own,0.53,0.9,0.690651866,0.423529412,0.591666667,0.715,"[[159 141]
 [  6  54]]",,,,,,,,,,
0,4,estimated_hyper_lin,exp,0.916666667,0.35,0.566421516,0.396226415,0.822222222,0.633333333,"[[275  25]
 [ 39  21]]",,,,,,,,,,
0,4,actual_hyper_lin,lin_center_own,0.53,0.9,0.690651866,0.423529412,0.591666667,0.715,"[[159 141]
 [  6  54]]",,,,,,,,,,
0,4,actual_hyper_lin,exp,0.91,0.366666667,0.577638872,0.403669725,0.819444444,0.638333333,"[[273  27]
 [ 38  22]]",,,,,,,,,,
0,4,distance_center_own_opposite_tam,func_own_opp_new,0.896666667,0.45,0.635216499,0.457627119,0.822222222,0.673333333,"[[269  31]
 [ 33  27]]",,,,,,,,,,
0,4,distance_center_own_opposite_tam,func_own_opp_new_v1,0.896666667,0.5,0.669576981,0.495867769,0.830555556,0.698333333,"[[269  31]
 [ 30  30]]",,,,,,,,,,
0,4,distance_center_own_opposite_tam,func_own_opp_new_v2,0.896666667,0.5,0.669576981,0.495867769,0.830555556,0.698333333,"[[269  31]
 [ 30  30]]",,,,,,,,,,
0,5,SVM,SVM,0.996666667,0.083333333,0.288193608,0.151515152,0.844444444,0.54,"[[299   1]
 [ 55   5]]",,,,,,,,,,
0,5,WSVM,WSVM,0.91,0.316666667,0.536811575,0.358490566,0.811111111,0.613333333,"[[273  27]
 [ 41  19]]",,,,,,,,,,
0,5,own_class_center,lin_center_own,0.89,0.416666667,0.608960864,0.423728814,0.811111111,0.653333333,"[[267  33]
 [ 35  25]]",,,,,,,,,,
0,5,own_class_center,exp,0.553333333,0.916666667,0.712195354,0.441767068,0.613888889,0.735,"[[166 134]
 [  5  55]]",,,,,,,,,,
0,5,estimated_hyper_lin,lin_center_own,0.866666667,0.483333333,0.647216261,0.449612403,0.802777778,0.675,"[[260  40]
 [ 31  29]]",,,,,,,,,,
0,5,estimated_hyper_lin,exp,0.886666667,0.4,0.595538972,0.406779661,0.805555556,0.643333333,"[[266  34]
 [ 36  24]]",,,,,,,,,,
0,5,actual_hyper_lin,lin_center_own,0.553333333,0.916666667,0.712195354,0.441767068,0.613888889,0.735,"[[166 134]
 [  5  55]]",,,,,,,,,,
0,5,actual_hyper_lin,exp,0.866666667,0.55,0.690410506,0.496240602,0.813888889,0.708333333,"[[260  40]
 [ 27  33]]",,,,,,,,,,
0,5,distance_center_own_opposite_tam,func_own_opp_new,0.873333333,0.533333333,0.682479141,0.492307692,0.816666667,0.703333333,"[[262  38]
 [ 28  32]]",,,,,,,,,,
0,5,distance_center_own_opposite_tam,func_own_opp_new_v1,0.866666667,0.5,0.658280589,0.461538462,0.805555556,0.683333333,"[[260  40]
 [ 30  30]]",,,,,,,,,,
0,5,distance_center_own_opposite_tam,func_own_opp_new_v2,0.866666667,0.5,0.658280589,0.461538462,0.805555556,0.683333333,"[[260  40]
 [ 30  30]]",,,,,,,,,,
