Test Size,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
11,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
12,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
13,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
14,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
15,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
16,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
17,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
18,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
19,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
20,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
21,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
22,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
23,actual_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
24,actual_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
25,actual_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
26,actual_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
27,actual_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
28,actual_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
29,actual_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
30,actual_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
1,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
2,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
3,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
4,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
5,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
6,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
7,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
8,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
9,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
10,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
11,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
12,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
13,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
14,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
15,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
16,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
17,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
18,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
19,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
20,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
21,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
22,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
23,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
24,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
25,actual_hyper_lin,exp,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
26,actual_hyper_lin,exp,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
27,actual_hyper_lin,exp,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
28,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
29,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
30,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
1,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
2,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
3,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
4,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
5,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
6,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
7,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
8,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
9,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
10,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
11,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
12,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
13,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
14,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
15,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
16,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
17,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
18,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
19,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
20,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
21,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
22,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
23,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
24,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.72,0.835224521,0.72,0.944,0.844444444,"[[218   7]
 [  7  18]]"
25,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.72,0.835224521,0.72,0.944,0.844444444,"[[218   7]
 [  7  18]]"
26,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.72,0.835224521,0.72,0.944,0.844444444,"[[218   7]
 [  7  18]]"
27,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.72,0.835224521,0.72,0.944,0.844444444,"[[218   7]
 [  7  18]]"
28,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.72,0.835224521,0.72,0.944,0.844444444,"[[218   7]
 [  7  18]]"
29,distance_center_own_opposite_tam,func_own_opp_new,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
30,distance_center_own_opposite_tam,func_own_opp_new,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
