Test Size,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
12,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
13,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
14,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
15,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
16,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
17,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
18,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
19,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
20,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
21,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
22,estimated_hyper_lin,lin_center_own,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
