Times,IR,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
0,0.2,4,distance_center_own_opposite_tam,func_own_opp_new_v1,1.0,0.0,0.0,0.0,0.8771929824561403,0.5,"[[50  0]
 [ 7  0]]"
0,0.2,4,distance_center_own_opposite_tam,func_own_opp_new_v2,1.0,0.0,0.0,0.0,0.8771929824561403,0.5,"[[50  0]
 [ 7  0]]"
0,0.2,5,SVM,SVM,1.0,0.0,0.0,0.0,0.8771929824561403,0.5,"[[50  0]
 [ 7  0]]"
0,0.2,5,WSVM,WSVM,0.94,0.0,0.0,0.0,0.8245614035087719,0.47,"[[47  3]
 [ 7  0]]"
0,0.2,5,own_class_center,lin_center_own,0.96,0.0,0.0,0.0,0.8421052631578947,0.48,"[[48  2]
 [ 7  0]]"
0,0.2,5,own_class_center,exp,0.94,0.0,0.0,0.0,0.8245614035087719,0.47,"[[47  3]
 [ 7  0]]"
0,0.2,5,estimated_hyper_lin,lin_center_own,0.94,0.0,0.0,0.0,0.8245614035087719,0.47,"[[47  3]
 [ 7  0]]"
0,0.2,5,estimated_hyper_lin,exp,0.96,0.0,0.0,0.0,0.8421052631578947,0.48,"[[48  2]
 [ 7  0]]"
0,0.2,5,actual_hyper_lin,lin_center_own,0.08,0.8571428571428571,0.26186146828319085,0.20338983050847456,0.17543859649122806,0.4685714285714285,"[[ 4 46]
 [ 1  6]]"
0,0.2,5,actual_hyper_lin,exp,0.92,0.0,0.0,0.0,0.8070175438596491,0.46,"[[46  4]
 [ 7  0]]"
0,0.2,5,distance_center_own_opposite_tam,func_own_opp_new,0.84,0.2857142857142857,0.4898979485566356,0.23529411764705882,0.7719298245614035,0.5628571428571428,"[[42  8]
 [ 5  2]]"
0,0.2,5,distance_center_own_opposite_tam,func_own_opp_new_v1,0.96,0.0,0.0,0.0,0.8421052631578947,0.48,"[[48  2]
 [ 7  0]]"
0,0.2,5,distance_center_own_opposite_tam,func_own_opp_new_v2,0.96,0.0,0.0,0.0,0.8421052631578947,0.48,"[[48  2]
 [ 7  0]]"
Times,IR,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
