Times,IR,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
0,0.2,4,actual_hyper_lin,lin_center_own,0.56,0.9,0.709929573971954,0.4390243902439024,0.6166666666666667,0.73,"[[28 22]
 [ 1  9]]"
0,0.2,4,actual_hyper_lin,exp,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
0,0.2,4,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
0,0.2,4,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
0,0.2,4,distance_center_own_opposite_tam,func_own_opp_new_v2,0.9,0.7,0.7937253933193772,0.6363636363636365,0.8666666666666667,0.8,"[[45  5]
 [ 3  7]]"
0,0.2,5,SVM,SVM,0.98,0.4,0.6260990336999411,0.5333333333333333,0.8833333333333333,0.69,"[[49  1]
 [ 6  4]]"
0,0.2,5,WSVM,WSVM,0.96,0.4,0.6196773353931867,0.5,0.8666666666666667,0.6799999999999999,"[[48  2]
 [ 6  4]]"
0,0.2,5,own_class_center,lin_center_own,0.94,0.3,0.5310367218940701,0.37499999999999994,0.8333333333333334,0.62,"[[47  3]
 [ 7  3]]"
0,0.2,5,own_class_center,exp,0.94,0.4,0.6131883886702356,0.47058823529411764,0.85,0.6699999999999999,"[[47  3]
 [ 6  4]]"
0,0.2,5,estimated_hyper_lin,lin_center_own,0.94,0.4,0.6131883886702356,0.47058823529411764,0.85,0.6699999999999999,"[[47  3]
 [ 6  4]]"
0,0.2,5,estimated_hyper_lin,exp,0.94,0.3,0.5310367218940701,0.37499999999999994,0.8333333333333334,0.62,"[[47  3]
 [ 7  3]]"
0,0.2,5,actual_hyper_lin,lin_center_own,0.74,0.9,0.8160882305241266,0.5625000000000001,0.7666666666666667,0.82,"[[37 13]
 [ 1  9]]"
0,0.2,5,actual_hyper_lin,exp,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
0,0.2,5,distance_center_own_opposite_tam,func_own_opp_new,0.94,0.4,0.6131883886702356,0.47058823529411764,0.85,0.6699999999999999,"[[47  3]
 [ 6  4]]"
0,0.2,5,distance_center_own_opposite_tam,func_own_opp_new_v1,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
0,0.2,5,distance_center_own_opposite_tam,func_own_opp_new_v2,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
Times,IR,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,0.2,1,SVM,SVM,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,1,WSVM,WSVM,0.8,0.7,0.7483314773547882,0.5185185185185185,0.7833333333333333,0.75,"[[40 10]
 [ 3  7]]"
1,0.2,1,own_class_center,lin_center_own,0.78,0.8,0.78993670632526,0.5517241379310345,0.7833333333333333,0.79,"[[39 11]
 [ 2  8]]"
1,0.2,1,own_class_center,exp,0.8,0.8,0.8,0.5714285714285714,0.8,0.8,"[[40 10]
 [ 2  8]]"
1,0.2,1,estimated_hyper_lin,lin_center_own,0.74,0.8,0.7694153624668538,0.5161290322580645,0.75,0.77,"[[37 13]
 [ 2  8]]"
1,0.2,1,estimated_hyper_lin,exp,0.74,0.8,0.7694153624668538,0.5161290322580645,0.75,0.77,"[[37 13]
 [ 2  8]]"
